Date,Instagram reach
2023-09-10,5142
2023-09-11,27441
2023-09-12,20564
2023-09-13,15333
2023-09-14,27739
2023-09-15,10179
2023-09-16,12029
2023-09-17,17597
2023-09-18,8025
2023-09-19,14987
2023-09-20,5482
2023-09-21,22514
2023-09-22,28171
2023-09-23,29155
2023-09-24,10790
2023-09-25,12493
2023-09-26,24639
2023-09-27,11886
2023-09-28,27263
2023-09-29,23785
2023-09-30,18584
2023-10-01,22561
2023-10-02,8822
2023-10-03,28975
2023-10-04,8861
2023-10-05,11527
2023-10-06,10623
2023-10-07,21454
2023-10-08,20282
2023-10-09,22502
2023-10-10,12152
2023-10-11,22079
2023-10-12,19199
2023-10-13,11619
2023-10-14,7896
2023-10-15,26512
2023-10-16,8883
2023-10-17,15801
2023-10-18,16639
2023-10-19,29577
2023-10-20,21309
2023-10-21,20491
2023-10-22,5826
2023-10-23,16523
2023-10-24,7168
2023-10-25,25454
2023-10-26,26527
2023-10-27,28619
2023-10-28,24493
2023-10-29,20630
2023-10-30,19459
2023-10-31,20035
2023-11-01,7178
2023-11-02,24772
2023-11-03,21690
2023-11-04,12840
2023-11-05,18244
2023-11-06,12684
2023-11-07,27852
2023-11-08,14459
2023-11-09,17101
2023-11-10,12075
2023-11-11,9708
2023-11-12,24704
2023-11-13,24871
2023-11-14,14772
2023-11-15,17810
2023-11-16,7041
2023-11-17,9260
2023-11-18,14123
2023-11-19,10893
2023-11-20,21631
2023-11-21,19618
2023-11-22,9920
2023-11-23,8723
2023-11-24,9129
2023-11-25,15033
2023-11-26,7534
2023-11-27,17319
2023-11-28,6953
2023-11-29,23017
2023-11-30,16776
2023-12-01,26780
2023-12-02,28084
2023-12-03,19652
2023-12-04,18407
2023-12-05,11566
2023-12-06,6255
2023-12-07,18543
2023-12-08,24671
2023-12-09,11539
2023-12-10,25181
2023-12-11,13160
2023-12-12,15365
2023-12-13,29050
2023-12-14,24907
2023-12-15,18951
2023-12-16,28559
2023-12-17,10597
2023-12-18,17221
2023-12-19,14500
2023-12-20,15980
2023-12-21,9961
2023-12-22,8354
2023-12-23,14106
2023-12-24,24556
2023-12-25,24020
2023-12-26,15744
2023-12-27,6792
2023-12-28,15866
2023-12-29,16544
2023-12-30,18601
2023-12-31,27821
